BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0082861190514822,-0.6966604221093904,-1.0112554838568109,-0.8782296804828921,-0.6460491689953253,1.2648438020918282,0.3669015048727877,0.8587876617663065,-1.6147932822052784,0.8444848885380465,-1.6976579910441851,-0.6924266321019805,0,2.6465029357265815,2.347905072154346,0.28014405981975654,3,1.6593288484841147,-0.6268004648737885,0.34641016151377513,2.8377480561015216,2.412850655829396,3.932865056309015,0.8258678615895803
0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1.5660360472871422,1.5046890624357694,0.2028174281588913,-0.8782296804828921,1.1653529969343466,0.7751623722590688,-1.0211192617231628,1.7660694933448786,-0.6998030358455695,1.41627644186558,1.3830486041172414,0.10322608083262351,0,0.1904187902446825,-0.42591159747461105,-0.6437925990088635,0,2.313273461693672,-1.411444842434772,-1.0680979980008076,-0.3246329428064155,-0.603279280485671,-0.6798835868619307,-0.3060908857639703
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,-0.8880636369497623,-0.8394100473870628,0.08141013695732109,0.09558318720772876,0.2596519139695107,-1.1835633470719693,-1.0211192617231628,-0.04849416981226579,0.21518721051413947,-0.13026129236690476,1.2413211820638101,2.490184219636436,0,-1.1740724016897057,-0.42591159747461105,0.28014405981975654,0,-0.43329391378646853,-0.6268004648737885,0.34641016151377513,-0.3246329428064155,-0.603279280485671,-0.3723670106505344,-0.02310119892558269
0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.450536190815822,0.7032876573681344,-0.8898481926552407,1.0693960548983497,-0.6460491689953253,-0.44904120232283,-2.409140028319113,-0.9557760013908381,1.1301774568738483,-0.7875345133916003,0.4556042457675948,0.5010524372999255,1,-0.6282759249159505,-0.42591159747461105,0.28014405981975654,1,-0.17171606850264562,-1.411444842434772,-1.0680979980008076,0.008249267604946266,0.767688872384814,-0.3723670106505344,-1.1550599462791333
0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,-0.6649636656554982,-1.190023162104153,-1.0112554838568109,-0.8782296804828921,1.1653529969343466,1.558652659991484,-1.0211192617231628,-0.9557760013908381,-1.6147932822052784,-0.9066134534672488,0.24398006391003468,-0.6924266321019805,0,-0.9011741633028282,-0.42591159747461105,0.28014405981975654,1,-0.9564496043541143,0.15784391268719503,0.34641016151377513,-0.4910740480120964,-0.603279280485671,0.24266614177225837,-0.589080572602358
0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,-1.3342635795382904,-1.6608464875813886,-0.7684409014536705,-1.8520425481735128,0.2596519139695107,1.558652659991484,0.3669015048727877,-0.04849416981226579,-1.6147932822052784,-0.48643490777174625,-0.00880861285193333,-0.6924266321019805,1,0.7362152670184379,-0.42591159747461105,1.2040807186483766,0,-0.8256606817122029,0.15784391268719503,0.34641016151377513,-0.3246329428064155,-0.3290856499115741,-0.6798835868619307,-0.3060908857639703
0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.6649636656554982,1.649943067104278,1.659704922577734,0.09558318720772876,-0.6460491689953253,-0.10626420143989834,-1.0211192617231628,-0.04849416981226579,1.1301774568738483,-0.1912892491556746,-0.0025924978495898534,-1.0902529885692827,0,1.5549099821790708,2.347905072154346,-0.6437925990088635,1,-0.17171606850264562,-0.6268004648737885,0.34641016151377513,0.34113147801630805,-1.1516665416338652,1.472732446617844,1.108857548427968
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,-0.5534136800083662,0.60311248173468,-0.6470336102521003,1.0693960548983497,1.1653529969343466,-1.6732447769047287,-2.409140028319113,0.8587876617663065,1.1301774568738483,0.833214917423744,1.5727091796331878,-0.6924266321019805,0,-1.1740724016897057,-0.42591159747461105,0.28014405981975654,0,0.3514396220650002,-0.6268004648737885,-1.0680979980008076,1.1733370040447124,1.041882502958911,2.0877655990406367,1.108857548427968
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1.1111636082440264,1.0413788751310429,-0.52562631905053,0.09558318720772876,0.2596519139695107,0.9220668012088966,0.3669015048727877,-0.9557760013908381,-0.6998030358455695,-0.8513268027178406,0.899434856934919,-0.6924266321019805,1,-0.9011741633028282,-0.42591159747461105,-0.6437925990088635,0,-0.9564496043541143,-0.6268004648737885,-1.0680979980008076,-0.4910740480120964,-0.3290856499115741,-0.3723670106505344,-0.589080572602358
0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,-0.5534136800083662,-0.7242085954085903,-1.0112554838568109,0.09558318720772876,1.1653529969343466,-0.20420048740645025,-1.0211192617231628,-0.9557760013908381,0.21518721051413947,-0.5851003152629979,-0.670755792657043,-1.0902529885692827,1,-0.3553776865290728,-0.42591159747461105,1.2040807186483766,0,-0.9564496043541143,-0.6268004648737885,-2.4826061575153906,-0.6575151532177773,-0.603279280485671,-0.3723670106505344,-0.589080572602358
